ZywOo;France;970;25491;1.38;1.27;21602;41.3;1.45;
s1mple;Ukraine;1532;40464;1.34;1.25;34647;41.3;1.36;
sh1ro;Russia;847;22465;1.45;1.23;17320;27.9;1.21;
deko;Russia;378;10219;1.37;1.22;8219;36.9;1.21;
Kaze;Malaysia;829;21617;1.32;1.2;16957;30.3;1.24;
degster;Russia;661;17582;1.3;1.19;13820;34.8;1.26;
smooya;United Kingdom;860;22747;1.27;1.18;17883;27.7;1.27;
sterling;New Zealand;844;21625;1.31;1.17;16815;31.5;1.19;
XANTARES;Turkey;1725;45404;1.2;1.17;36911;53.3;1.34;
torzsi;Hungary;428;11450;1.26;1.17;8946;29.2;1.22;
DANK1NG;China;374;9935;1.25;1.16;7867;39.7;1.25;
device;Denmark;1793;46666;1.25;1.16;36293;35.0;1.28;
SENSEi;Ukraine;427;11298;1.33;1.16;8421;31.4;1.17;
NiKo;Bosnia and Herzegovina;1596;42408;1.19;1.16;33800;50.5;1.3;
BnTeT;Indonesia;1016;26493;1.23;1.15;20329;39.8;1.15;
coldzera;Brazil;1410;36822;1.25;1.15;28326;49.4;1.09;
XigN;Korea;694;17953;1.2;1.15;14100;52.3;1.23;
Sico;New Zealand;888;22524;1.29;1.15;16985;35.2;1.18;
blameF;Denmark;834;22326;1.25;1.15;16962;39.2;1.21;
KSCERATO;Brazil;890;23120;1.28;1.15;17117;49.6;1.09;
Benkai;Singapore;603;15560;1.2;1.14;12164;46.7;1.25;
Jame;Russia;1154;30609;1.31;1.14;22028;25.2;1.12;
XELLOW;Romania;1054;27629;1.18;1.14;21580;40.8;1.27;
Texta;Australia;625;15713;1.16;1.13;12510;40.3;1.29;
mhL;Poland;458;12268;1.2;1.13;9397;28.4;1.22;
El1an;Russia;1262;33663;1.23;1.13;25346;27.2;1.22;
oskar;Czech Republic;1458;38450;1.2;1.13;29326;30.5;1.21;
kennyS;France;1852;48898;1.21;1.13;37067;31.2;1.12;
frozen;Slovakia;1168;30540;1.17;1.13;23231;54.8;1.19;
huNter-;Bosnia and Herzegovina;1433;37829;1.16;1.12;29347;49.4;1.24;
mantuu;Poland;682;18286;1.21;1.12;13659;35.8;1.17;
yuurih;Brazil;982;25589;1.19;1.12;19381;44.4;1.16;
erkaSt;Mongolia;859;22286;1.17;1.12;17206;50.2;1.2;
Freeman;Hong Kong;742;18909;1.18;1.12;14338;49.3;1.15;
INS;Australia;932;23654;1.17;1.12;17975;42.4;1.26;
chelleos;New Zealand;559;14429;1.15;1.12;11255;32.0;1.39;
vsm;Brazil;533;14130;1.16;1.12;10883;47.0;1.25;
woxic;Turkey;1131;29650;1.2;1.12;21900;32.3;1.17;
liTTle;Russia;458;12159;1.2;1.12;9317;27.7;1.22;
ropz;Estonia;1090;28804;1.21;1.12;21373;51.7;1.1;
dream3r;Bulgaria;1233;32271;1.21;1.12;24015;49.7;1.06;
kNgV-;Brazil;827;21606;1.17;1.12;16548;32.7;1.22;
Jamppi;Finland;503;13449;1.16;1.12;10302;31.8;1.28;
wrath;United States;525;13568;1.13;1.12;10634;50.1;1.21;
xsepower;Russia;1219;32700;1.24;1.11;23591;24.9;1.2;
oSee;United States;1067;27680;1.19;1.11;20626;31.8;1.14;
PTC;Thailand;476;12393;1.18;1.11;9304;36.1;1.19;
GuardiaN;Slovakia;1568;41069;1.19;1.11;30375;29.6;1.1;
Twistzz;Canada;1336;35058;1.18;1.11;25698;62.3;1.08;
NEOFRAG;Czech Republic;644;17257;1.13;1.11;13155;49.0;1.26;
splashske;Singapore;722;18651;1.15;1.11;14145;38.4;1.25;
dgt;Uruguay;403;10643;1.2;1.11;7848;49.7;1.08;
zorte;Russia;684;18227;1.2;1.11;13326;36.9;1.16;
ottoNd;Finland;853;22545;1.19;1.11;16676;26.8;1.17;
FREDDyFROG;Sweden;1207;32156;1.18;1.11;23743;40.3;1.13;
Brehze;United States;1164;30296;1.14;1.1;23029;52.4;1.15;
Infinite;United States;809;21112;1.14;1.1;15744;50.9;1.17;
TenZ;Canada;401;10399;1.12;1.1;7931;51.3;1.21;
f0rest;Sweden;2083;54162;1.16;1.1;40884;51.9;1.07;
CeRq;Bulgaria;1199;31114;1.18;1.1;22812;27.9;1.16;
Olivia;Thailand;634;16189;1.15;1.1;12279;37.0;1.19;
poizon;Bulgaria;1101;29160;1.15;1.1;21485;33.6;1.2;
mertz;Denmark;955;25333;1.16;1.1;19077;32.5;1.22;
ekul;Australia;449;11608;1.13;1.1;8845;36.6;1.29;
nawwk;Sweden;855;22808;1.19;1.1;16778;35.3;1.09;
WARDELL;Canada;609;15901;1.17;1.1;11627;27.2;1.19;
swag;United States;556;14447;1.18;1.1;10527;49.5;1.09;
hades;Poland;555;14898;1.18;1.1;10992;29.8;1.12;
mir;Russia;980;25665;1.15;1.1;19402;52.2;1.19;
HEN1;Brazil;1076;27940;1.21;1.1;19719;28.6;1.09;
aliStair;Australia;1043;26510;1.17;1.1;19355;35.1;1.21;
h4rn;Bulgaria;511;13616;1.18;1.1;9803;29.1;1.11;
Ax1Le;Russia;920;24383;1.16;1.1;17753;48.9;1.15;
dumau;Brazil;432;11453;1.18;1.1;8417;41.3;1.12;
Calyx;Turkey;1066;27822;1.16;1.1;20404;56.9;1.09;
moose;Canada;752;19559;1.16;1.1;14503;44.1;1.12;
nython;Brazil;477;12731;1.15;1.1;9580;37.9;1.17;
xccurate;Indonesia;698;18113;1.15;1.09;13334;31.2;1.14;
mixwell;Spain;840;21804;1.13;1.09;16275;38.1;1.22;
allu;Finland;1610;42162;1.16;1.09;31240;28.6;1.13;
electroNic;Russia;1279;33752;1.14;1.09;25165;50.5;1.19;
Farlig;Denmark;681;18202;1.16;1.09;13265;33.4;1.14;
syrsoN;Germany;1688;44789;1.16;1.09;32760;29.6;1.2;
lollipop21k;Belarus;1149;30740;1.12;1.09;23157;49.2;1.13;
floppy;United States;791;20779;1.13;1.09;15453;49.4;1.14;
PwnAlone;United States;888;23148;1.15;1.09;16836;31.8;1.17;
Spinx;Israel;405;10737;1.14;1.09;7918;56.9;1.12;
GeT_RiGhT;Sweden;1745;45030;1.15;1.09;33271;49.3;1.03;
JUGi;Denmark;940;24427;1.18;1.09;17527;27.8;1.13;
dexter;Australia;956;24578;1.13;1.09;18309;48.8;1.2;
Cooper;United States;752;19490;1.16;1.09;14332;32.3;1.13;
Sonic;South Africa;940;24238;1.14;1.09;17758;46.6;1.14;
JOTA;Brazil;387;10061;1.14;1.09;7352;41.5;1.14;
zehN;Finland;1073;28305;1.13;1.09;20665;46.0;1.1;
ZOREE;Finland;1656;43985;1.16;1.09;31759;32.2;1.11;
NAF;Canada;1543;40472;1.16;1.09;29440;41.8;1.1;
gas;China;445;11621;1.09;1.09;9038;60.3;1.18;
cynic;United States;625;16171;1.15;1.09;11994;40.7;1.08;
ryx;United States;491;12856;1.14;1.09;9797;36.3;1.11;
mezii;United Kingdom;500;13551;1.14;1.09;9829;49.8;1.08;
BL1TZ;Australia;732;18819;1.13;1.09;13957;43.0;1.15;
ScreaM;Belgium;1430;37087;1.13;1.09;27501;68.1;1.11;
EliGE;United States;1582;41424;1.11;1.09;31338;48.9;1.25;
HaZR;Australia;767;19621;1.1;1.09;14687;55.9;1.19;
faveN;Germany;1315;35117;1.13;1.09;25954;54.4;1.13;
dennyslaw;Bulgaria;1121;30168;1.14;1.09;22051;31.4;1.14;
biguzera;Brazil;575;15308;1.15;1.09;11066;51.3;1.13;
nex;Germany;1074;28389;1.13;1.09;21063;51.5;1.04;
fer;Brazil;1391;36269;1.11;1.09;27300;44.9;1.22;
k0nfig;Denmark;1512;40027;1.09;1.09;30190;55.8;1.2;
valde;Denmark;1230;32676;1.13;1.09;24018;46.8;1.1;
dupreeh;Denmark;1903;49550;1.14;1.09;36431;50.6;1.14;
nukkye;Lithuania;592;15492;1.13;1.08;11227;39.2;1.11;
Attacker;China;1244;32013;1.13;1.08;23926;46.4;1.12;
junior;United States;463;12120;1.18;1.08;8596;29.3;1.08;
exit;Brazil;696;17883;1.17;1.08;12707;45.3;1.01;
Magisk;Denmark;1361;35822;1.14;1.08;25858;47.5;1.12;
Savage;China;836;21434;1.14;1.08;15647;37.0;1.15;
Machinegun;Mongolia;421;10714;1.09;1.08;8143;50.0;1.19;
DJOXiC;Serbia;489;12531;1.15;1.08;9002;29.8;1.16;
Detrony;South Africa;412;10449;1.13;1.08;7633;34.7;1.17;
Summer;China;1251;32235;1.14;1.08;23556;48.8;1.1;
Hatz;Australia;933;23765;1.14;1.08;17120;50.8;1.15;
keev;Germany;594;15524;1.12;1.08;11408;29.1;1.21;
felps;Brazil;998;25554;1.09;1.08;19490;43.9;1.26;
draken;Sweden;1093;28857;1.15;1.08;20821;31.0;1.17;
sergej;Finland;776;20425;1.14;1.08;14855;48.2;1.12;
pz;Australia;426;11132;1.14;1.08;7962;29.3;1.15;
ShahZaM;United States;966;25252;1.13;1.08;18509;34.0;1.16;
jayzaR;Sweden;525;13870;1.1;1.08;10382;36.3;1.21;
FL1T;Russia;1214;32761;1.13;1.08;24004;46.9;1.07;
Ryxxo;Denmark;834;21932;1.14;1.08;15729;33.0;1.12;
MICHU;Poland;1732;45397;1.1;1.08;33874;50.7;1.15;
hAdji;France;1128;29772;1.11;1.08;21859;48.9;1.11;
Rickeh;Australia;948;24829;1.15;1.07;17589;37.8;1.14;
ptr;United States;1132;29624;1.15;1.07;20902;26.0;1.11;
slaxz-;Germany;853;23053;1.14;1.07;16323;29.6;1.14;
Impulse;Serbia;766;20371;1.12;1.07;14644;35.4;1.11;
dapr;United States;594;15426;1.1;1.07;11313;44.1;1.16;
nicoodoz;Denmark;695;18671;1.15;1.07;13211;31.3;1.06;
YEKINDAR;Latvia;1078;28645;1.07;1.07;21415;59.2;1.29;
Liazz;Australia;964;24883;1.14;1.07;17464;45.8;1.08;
meyern;Argentina;426;11104;1.1;1.07;8080;54.1;1.12;
NaToSaphiX;Denmark;948;25338;1.16;1.07;17805;36.8;1.06;
shox;France;1999;52420;1.11;1.07;38385;48.8;1.09;
iDISBALANCE;Russia;856;22672;1.14;1.07;16215;27.0;1.13;
autimatic;United States;1166;30439;1.11;1.07;22601;44.3;1.12;
fejtZ;Estonia;735;19506;1.1;1.07;14402;46.0;1.09;
jks;Australia;1183;30912;1.12;1.07;21807;52.9;1.05;
smike;Ukraine;480;12461;1.08;1.07;9299;33.1;1.24;
NikoM;Argentina;475;12189;1.11;1.07;8906;46.3;1.09;
trk;Brazil;790;20690;1.11;1.07;15052;48.2;1.12;
hallzerk;Norway;746;20275;1.11;1.07;14681;34.1;1.15;
dycha;Poland;766;20522;1.09;1.07;15005;53.8;1.17;
xand;Brazil;515;13210;1.1;1.07;9681;50.2;1.12;
paz;Turkey;1068;27990;1.11;1.07;20217;51.2;1.08;
CRUC1AL;Netherlands;1461;38299;1.11;1.07;27614;28.9;1.15;
InfrequeNt;Australia;479;12350;1.11;1.07;8937;33.8;1.18;
HObbit;Kazakhstan;1147;30237;1.11;1.07;21968;46.6;1.13;
boltz;Brazil;1259;32756;1.13;1.07;23379;39.4;1.09;
EspiranTo;Lithuania;871;22800;1.08;1.07;16973;59.9;1.16;
WorldEdit;Russia;1328;34716;1.11;1.07;25226;28.0;1.15;
QKA;China;402;10409;1.1;1.07;7690;40.4;1.16;
FalleN;Brazil;1538;40215;1.15;1.07;27904;30.8;1.08;
somebody;China;1253;32437;1.1;1.07;23702;45.8;1.16;
Brollan;Sweden;967;25710;1.09;1.07;18732;52.5;1.17;
shroud;Canada;676;17460;1.12;1.07;12588;52.9;1.04;
Pimp;Denmark;976;25052;1.13;1.07;18116;46.6;1.05;
fame;Russia;491;13123;1.1;1.07;9589;57.6;1.15;
hardzao;Brazil;655;17219;1.14;1.07;12073;47.1;1.04;
anarkez;Israel;666;17822;1.11;1.07;12819;30.8;1.18;
roeJ;Denmark;865;22846;1.09;1.07;17051;55.5;1.22;
shz;Brazil;794;20588;1.11;1.07;14776;51.2;1.05;
